, DIMENSION, R2_SCORE ,MODEL_NAME,RMSE
0,1,-0.8573192426353504,RandomF,77.27839284043115
1,2,-0.36997785628980884,RandomF,66.36996308572124
2,3,0.2701128333996814,RandomF,48.444297910074
3,4,0.40615856389331206,RandomF,43.69684199115538
4,5,0.4554183668391719,RandomF,41.845262575350155
5,6,0.5569174213773886,RandomF,37.74480096649073
6,7,0.8110202279060509,RandomF,24.65031439961771
7,8,0.5743947800557324,RandomF,36.99289120898771
8,9,0.7150440386146497,RandomF,30.269390479492646
9,1,0.26569072798288074,LinearR,48.590828979067275
10,2,0.4624422165986808,LinearR,41.57453300323728
11,3,0.482778118951254,LinearR,40.780565805894554
12,4,0.9558996143796649,LinearR,11.907922400998446
13,5,0.9556485475036361,LinearR,11.941770651737896
14,6,0.9614013316358189,LinearR,11.140404584729108
15,7,0.9676011153038602,LinearR,10.206570329771903
16,8,0.9723101811413369,LinearR,9.435715975239546
17,9,0.9677354017142549,LinearR,10.185396346929918
18,1,0.04038627101313885,SVR(C=1,55.54730956252691
19,2,0.028418041007442718,SVR(C=1,55.89262713154847
20,3,0.019002891927430654,SVR(C=1,56.16278893904946
21,4,0.016752176932208207,SVR(C=1,56.22717955205699
22,5,0.013140941526503247,SVR(C=1,56.33033944734704
23,6,0.011308495432698185,SVR(C=1,56.3826135978594
24,7,0.009764343159464728,SVR(C=1,56.426625998537105
25,8,0.008316480428882334,SVR(C=1,56.46786273171838
26,9,0.007176638396234947,SVR(C=1,56.50030552099946
27,1,0.1748407628340024,Ridge(a,51.50906720970651
28,2,0.3082267013887552,Ridge(a,47.162487142035374
29,3,0.32920363587991264,Ridge(a,46.44191853635209
30,4,0.4795090717312366,Ridge(a,40.90923747906151
31,5,0.4797533344996924,Ridge(a,40.89963714243769
32,6,0.5112208945765757,Ridge(a,39.64342044292169
33,7,0.5254152686847671,Ridge(a,39.06354773547517
34,8,0.5220698966531597,Ridge(a,39.20098643015628
35,9,0.5224113217810604,Ridge(a,39.18698166991239
36,1,-0.05345355458225609,Elastic,58.199934890527175
37,2,-0.05186328147709807,Elastic,58.155989551637774
38,3,-0.051749503122785256,Elastic,58.152844146790265
39,4,-0.05005156161766733,Elastic,58.10588429034518
40,5,-0.05005156161766733,Elastic,58.10588429034518
41,6,-0.05005156161766733,Elastic,58.10588429034518
42,7,-0.05005156161766733,Elastic,58.10588429034518
43,8,-0.05005156161766733,Elastic,58.10588429034518
44,9,-0.05005156161766733,Elastic,58.10588429034518
