,Id,WOClientId,WOTypeId,PurposeId,ServiceCategory,ServiceType,ServiceCode,PriorityId,ClientNTE,AffiliateNTE,ZipCode,Lat,Lng,YearBuilt,BathRooms,BedRooms,TTSQFT,LotSize,SubAffiliateCost,OnSiteTime,AffiliateId,DefaultAffiliateNTE,DefaultClientNTE
count,427030.0,427030.0,427029.0,364904.0,427030.0,427030.0,427030.0,427030.0,427024.0,427016.0,427029.0,427029.0,427029.0,425900.0,426997.0,420193.0,427012.0,338501.0,427029.0,352502.0,427005.0,427029.0,427029.0
mean,1844565.9247687517,1200.0,22.754468666062493,1.866244272466183,13.555527714680467,985.9344519120436,4621.555019553662,8.244179565838465,612.4861321846081,557.8702575079154,54245.923951300734,32.09654609926773,-93.32462035253486,1986.0649072552242,2.24216575292098,3.486804872998836,8028.427019381191,8644.345240988947,505.9178742193154,522.0126580842094,61044.11078558799,239.3286814244466,263.19793269309577
std,1308700.0312710088,0.0,2.323698344855246,0.3403901444061203,26.693248691237173,173.33884011994192,1389.6476486168299,1.9575505533863502,1012.7572918065887,946.7008042118549,26266.52573180672,4.312024117949048,14.634648522449073,18.64123343393702,0.5775214180373405,0.7350208298623379,11184.198690227317,12438.313509359306,952.0075100438507,3280.0811698134316,39606.29657564663,52.51726730427554,62.12361533267044
min,663.0,1200.0,9.0,1.0,1.0,56.0,313.0,2.0,-23778.0,-27750.68,27006.0,0.0,-122.67523,1877.0,0.0,0.0,0.0,0.0,-27750.68,-210244.0,1.0,0.0,0.0
25%,824747.75,1200.0,23.0,2.0,1.0,954.0,4146.0,7.0,250.0,200.0,32810.0,28.073359999999997,-105.000708,1974.0,2.0,3.0,3920.0,5227.0,131.25,23.0,26943.0,200.0,250.0
50%,1540885.0,1200.0,23.0,2.0,4.0,978.0,4179.0,7.0,300.0,300.0,33973.0,33.41065,-84.48761,1989.0,2.0,3.0,6800.0,7150.0,225.0,62.0,35019.0,250.0,250.0
75%,3221982.75,1200.0,23.0,2.0,6.0,1008.0,4275.0,10.0,519.0,477.5,80601.0,34.062290000000004,-81.66928,2002.0,2.5,4.0,9216.0,9583.0,465.0,175.0,109075.0,300.0,300.0
max,3985504.0,1200.0,68.0,2.0,87.0,1787.0,10220.0,20.0,134669.0,46040.01,98499.0,48.23025,0.0,2018.0,25.0,8.0,466911.0,466911.0,46040.01,236221.0,122890.0,360.0,450.0
