,actual,LGBM
380859,200.0,186.01613672076977
23786,460.0,464.98421158421127
303400,121.5,154.38723313944112
231680,186.0,166.0704387783971
107666,120.0,170.5752418122068
355811,410.0,396.9879944327993
7300,455.02,446.36588778409384
284663,134.66,168.81239509861098
423182,664.5,669.8494353084996
112276,330.0,331.65354156232087
88872,206.0,213.43427868292451
317351,75.0,73.01236478039807
408823,0.0,0.12294615162416414
266076,140.0,121.91548862915423
284223,0.0,0.6696257024197687
48064,147.0,199.95533970832568
176951,0.0,-2.1058494238824235
417108,240.0,203.83640352348155
48083,390.0,390.4925478823305
13485,192.5,204.48319294813035
259179,152.5,172.90309168190845
426360,300.0,279.9643677691602
354679,500.0,503.55198009906735
218093,163.15,169.09886311898035
132113,0.0,-0.16949080535784766
420740,137.5,162.18710110997108
423345,347.0,330.12740293678945
399434,55.0,157.61240549681793
210514,170.0,208.14203922795846
394797,178.0,126.22145083210687
322793,95.0,105.87754284681658
157153,200.0,151.17181590853872
107360,643.0,640.5783140157439
167264,181.43,112.95999954106746
408709,190.0,175.841467453628
290926,180.0,567.6163626675941
404862,301.0,301.26908568366576
297016,120.0,174.27766384030613
124262,250.0,183.50628160237002
164411,547.5,530.3335966849977
284179,150.0,128.12336587751514
288567,665.0,650.1186616401177
107855,408.0,374.380186092116
321544,100.0,101.14402623358899
20414,69.0,173.18938075084915
390376,75.0,104.31328235264351
292046,240.0,236.25496477784657
342893,50.0,158.93720394969512
405995,678.1,680.9986755861145
241651,195.0,151.8216175453549
413699,95.0,134.43523483232727
276726,165.0,184.67748056414771
419910,0.0,-0.8768646598315799
158262,55.0,119.59513611570755
417488,442.57,448.963287956307
171874,257.0,246.80608931468922
103166,75.0,134.95690836792198
179006,592.5,581.5072396574895
369093,150.0,123.21556923563253
254680,120.0,165.0634753115403
223902,199.5,135.43963250008605
96065,685.0,626.7737315824262
86620,364.0,345.08389423068314
145555,469.84,459.90172056255824
338107,39.95,39.90835305869071
29535,288.0,232.88056535369145
114905,395.0,409.0246787248608
412930,0.0,3.355370710440614
381957,100.0,85.69510250068704
289765,215.0,325.54703543853174
88591,215.0,187.31908806646732
238301,125.0,167.5869671507736
36515,461.5,462.8384822012643
67769,178.0,160.97789352776886
228822,127.5,150.30716823378148
28753,357.5,350.188255498692
401557,175.0,148.01359738596423
192544,255.0,260.51745579824234
27078,260.0,251.0567620275611
238709,203.0,203.467544155615
40689,0.0,9.620845497155988
284654,103.0,125.21867878103572
12125,115.0,154.2961331478828
295358,250.0,224.80238327609018
390526,120.0,121.31688291819799
228200,150.0,162.1094910115833
396110,85.0,135.7310585196855
72151,390.99,380.29141567759723
265795,90.0,134.26712890826798
13176,327.0,272.417430694938
187020,50.0,100.39939085782196
97420,468.75,467.8510104355832
282658,180.0,180.9167377281239
237454,175.0,174.24728189335985
199271,225.0,194.66015328567184
91856,350.0,310.6367440818011
327909,150.0,151.37212104887914
336253,160.0,192.21944426313442
225099,0.0,3.77808599955254
121232,509.52,504.0944349328938
206337,250.0,186.75615998774225
344980,490.2,484.58267247516096
359662,711.34,696.4175153975629
210585,650.0,655.6173409138917
129960,150.0,153.1183601416618
190594,65.0,131.8206603597368
52559,95.0,258.32079868169996
203339,250.0,222.72831527711648
28910,137.5,220.64393064066263
40521,75.0,193.77714739561964
335074,0.0,3.1246070975480147
100784,75.0,123.42281301391306
284387,525.0,523.989622110016
169467,200.0,196.4695039920737
102456,173.0,234.45985147063337
35931,356.26,212.25825759011119
307105,0.0,3.9896761585505662
369644,250.0,223.90765426600424
409096,684.64,674.626579588513
93559,465.0,453.1848659284042
129379,75.0,143.12997518856793
275244,125.0,153.57293748954788
49926,127.5,269.17555423800474
137421,525.0,519.1891542394916
277072,300.0,284.09442940543846
419769,70.0,175.95715325462595
344908,152.5,204.24742940151924
246055,156.16,133.1962766538719
52966,240.0,190.65442764313516
277814,155.0,163.0704493021345
184368,125.0,171.41377330821808
203016,250.0,213.32514593870414
353220,665.0,646.3162588633982
224835,245.0,263.86049419338025
76996,297.15,209.5833131011395
420882,150.0,169.44262211400218
98032,85.0,192.59268347617183
310786,189.44,152.6610590642557
275051,417.5,412.62954322544516
292490,237.5,196.37640174680558
4116,255.0,306.5313373788229
39336,125.0,217.0291741961525
266623,0.0,3.410586181207856
183697,657.77,656.0937882845225
187042,235.0,204.29856875685726
402796,115.0,114.98915513017766
213141,184.5,144.24146845584193
256322,200.0,174.9028819145298
29475,425.0,420.50436230233487
316218,250.0,237.78693568139226
423312,170.0,195.6638433413148
24930,359.1,218.50347621474015
231003,70.0,120.35828515035048
28887,646.5,622.7362583002607
276734,142.43,204.26447953071047
63181,50.0,50.76574383950612
167084,170.0,167.158177725061
273520,160.0,143.84405200864882
90199,116.25,178.25578962095685
372656,150.0,133.46013327011863
150838,300.0,685.3801348321394
416619,250.0,235.5454458761002
386582,80.0,111.1358603283622
80940,105.0,142.41871569596225
234124,100.0,141.4604888813568
303138,472.5,472.52644014543915
205723,135.0,166.92463740588016
207864,65.0,110.37158676161368
262170,200.0,201.68339567822386
252957,135.0,133.0998917529742
217874,0.0,12.93649169515752
233872,175.0,156.13573664048602
47693,180.0,212.03246601611193
238210,200.0,180.40184003339849
401677,420.0,412.6038719830552
107807,460.0,442.7143407264459
291520,220.0,164.76311990796103
108839,127.5,177.6769006270745
73615,465.0,469.6730631065103
246454,208.33,215.1077061824048
80451,146.0,151.41742054173292
219631,200.0,174.559042144923
369715,250.0,221.26347520477793
259255,0.0,1.9162931802663
298068,345.0,326.8088003128344
318025,85.0,84.63560174723497
47428,159.0,114.40911434077033
292885,198.97,193.86636079296488
391002,320.0,326.64046367371157
248889,325.0,324.24204574187814
385603,318.76,287.29295139657705
29870,152.0,217.1758306619415
90419,180.0,225.9136237408338
383465,25.0,105.07056380158942
298428,0.0,0.3941894817563464
100432,275.0,163.36423652315443
157967,150.0,137.03330296859306
187473,475.0,471.46187207900573
286139,0.0,-1.4237687472336555
402022,125.0,131.42013646645276
254075,0.0,2.8999468777892297
15702,330.0,328.44279620179384
221768,425.0,420.3396480359735
308766,692.0,658.5754117193779
21876,690.0,693.8228204981002
403891,80.0,132.7768217610696
376883,198.0,167.64184961653015
185770,171.78,166.82536292218273
53375,75.0,197.46511130172146
92736,93.75,117.57691351282331
421358,354.98,348.46404899111405
266319,125.0,97.01118300686869
387716,274.2,256.29320763554705
112803,135.0,140.39492885934726
104515,257.0,234.34254828951688
66545,591.0,581.3099638184362
175278,250.0,236.22344706631364
172537,140.0,155.4569907932827
37308,298.75,323.2759342209324
217765,150.0,160.46701980203977
153517,168.5,175.24199041608233
393778,160.0,124.97156105819818
373032,493.0,496.249295486539
32506,462.5,475.5023985817115
193665,124.0,127.7602969058732
51593,150.0,188.80389999905285
331333,250.0,245.81110330515352
59969,187.5,245.71497050227626
210729,170.0,186.1650324129967
368662,152.77,139.79088219580316
313854,100.0,95.74670426073958
29840,224.3,225.94066310724418
16964,50.0,167.14116142991287
206993,295.0,272.7360171305014
234129,200.0,140.39297785192622
258504,200.0,157.10879699507396
116018,95.0,119.1054560899348
85048,142.5,205.8749464411675
329117,400.0,369.859268133218
396956,175.0,165.61486062286983
419770,350.0,331.63869688323405
322405,99.0,103.08324677335568
58229,185.0,177.05887028474328
14057,533.0,532.9829258286344
401326,230.98,225.96236376417517
302185,120.0,101.37799214464879
69517,242.0,143.6887013808969
28990,131.0,236.2357621507627
93190,162.5,139.15771807874637
197452,200.0,153.80289191471047
195996,285.0,291.72770514537194
278028,0.0,-0.9106258012445286
386282,90.0,90.97875674687306
299771,50.0,123.6284185028545
376098,282.24,278.8384801059379
405646,259.0,262.3104672343966
18833,300.0,262.2523838962926
106152,85.0,158.27110205345403
179036,0.0,1.2245181457801315
209994,205.0,184.0450682228767
23284,670.83,662.3809462653569
352236,483.64,482.71912629272515
5845,95.0,117.57517200037339
229268,200.0,157.49685330100186
173379,200.0,156.44027616707285
111047,75.0,73.35757071452045
12021,320.0,263.46243998724407
96945,396.0,395.34185760453516
272128,85.0,77.16344477862452
172501,75.0,158.48380056177749
91926,185.0,190.39404930331392
52300,105.0,126.64098997990112
243384,401.25,385.84889267089767
102735,260.0,215.37618730619704
259362,80.0,154.30326096211962
257533,85.0,152.3158040575302
247836,0.0,3.494134268652762
97674,481.5,474.9056850726264
317252,125.0,126.52201246199283
231970,185.0,162.91122205260257
349749,200.0,192.21981486438705
51919,175.0,212.4996845857967
103179,192.0,119.89889904889866
282769,271.42,258.5759796495633
107757,475.73,468.5819040176617
187009,411.25,396.9021583879195
217919,385.0,387.97405160336933
65525,102.5,160.80366616195215
82997,176.0,128.6081632608258
91068,305.0,215.54635151053733
236408,178.35,161.99550844629508
56530,205.0,186.53896639544124
79872,76.0,147.2925856884311
236617,335.0,331.2938399264107
394036,472.03,442.96856727695354
50740,80.0,251.56260651981643
421974,95.0,142.1400225787302
297918,0.0,2.8912197072254595
262105,110.0,150.3516575820181
69949,215.0,218.6946677761299
364569,544.5,530.5830850534924
49281,298.5,192.653902106027
357474,475.0,476.50213254694575
397829,50.0,111.97509210136023
397147,0.0,5.416240850905523
66725,198.0,194.55007928977997
191318,615.0,522.8457173137788
30500,339.5,352.66262057702284
340820,135.0,312.5286085734806
378373,85.0,112.03578682771773
389863,281.76,264.71952518160083
396145,110.0,118.7215160832857
85430,290.0,185.43083982704331
115012,75.0,135.25040287314766
343702,240.0,201.04115889847077
422684,550.0,541.7357701410789
54747,360.0,292.73322359435895
221222,137.04,123.17316808883328
162453,189.0,163.10829422016144
382190,50.0,110.01173458108926
244345,165.0,154.65960763507184
211219,98.55,144.87187322288213
333807,160.0,146.3345134804037
188304,140.0,98.59554452058846
112982,80.0,84.57384702109601
219232,140.0,152.3866038923068
335628,250.0,246.19343966511377
382170,456.0,456.60061717594414
21036,130.0,125.73045521840544
283793,125.0,122.47302832552876
268568,585.0,580.2898556432093
240293,187.5,128.1727709807765
331555,125.0,111.56953569000252
119072,68.0,143.66034484229377
163577,221.9,202.96672343675996
366910,614.05,573.4690885758683
143208,75.0,230.5649123204955
424087,646.73,646.7754379648554
200668,149.95,151.78335170566854
109150,285.0,224.76803228569386
391099,150.0,104.32122216983812
317492,85.0,84.84344786717222
330118,299.0,299.0857778446607
253986,290.48,280.60711844061456
229501,300.0,266.6879809132062
115506,168.75,169.54396285265975
234407,250.0,206.95315325338314
147576,135.0,140.78481800022325
424797,0.0,2.19949921529861
230803,200.0,153.79735059999607
137211,200.0,179.9975965933995
399108,255.25,259.0910559712584
237774,250.0,210.5078643200771
398788,15.0,18.238211590964536
184170,297.5,289.4508876143003
67258,297.0,169.01752289105676
143224,125.0,155.0884707592699
391824,236.32,212.55984197713184
44249,350.0,224.45414699893465
167275,295.0,296.80729314639467
103898,184.5,203.42965021390836
85738,300.0,226.73260211171402
286281,0.0,-0.27984795412230656
162795,0.0,3.5159857913003814
162942,170.0,165.52052995852745
408074,55.0,94.14086852007328
409032,0.0,-3.111930160328549
94916,125.0,174.8973041239736
31913,525.0,516.8649902648075
48275,75.0,147.64207133452624
187530,450.0,436.0470289476259
183845,616.46,612.9950455878452
296731,160.0,197.33970691303284
415403,511.01,501.11634527921206
314777,200.0,157.60346283597596
133082,199.8,114.62179212614836
137388,168.0,161.54840622235722
64995,320.0,287.8861020775685
29013,542.0,529.411337314908
385745,35.0,102.89273105681488
177025,37.5,36.18248305067058
226433,350.0,357.03445412356297
419550,225.0,164.96012590436132
168396,200.0,183.3520189787946
249832,95.0,97.24229997332151
416665,125.0,135.8590880291466
64944,247.0,266.554192165122
423304,90.97,127.28454788557616
401986,250.0,258.4460463198419
272146,360.0,331.6986055518096
178552,200.0,168.79891065525365
93420,223.0,166.5316335020781
404768,376.0,377.0415579993736
42749,235.0,224.97251034152487
272169,192.5,204.79256370821727
421020,120.0,115.21300911263756
100793,75.0,114.50634542957802
412059,95.0,119.02458592821857
251235,0.0,-1.7050464677340973
223775,151.0,164.337624108437
234058,127.5,139.76071471415318
245932,129.39,160.66049976453925
316007,69.0,69.51021334690427
346283,585.0,578.7200793051096
375191,250.0,233.3655742679047
184764,169.36,140.4744640505395
66659,150.0,146.76854127190094
34503,182.0,154.20541730155864
114515,100.0,163.24484948325394
327651,575.0,528.913131745084
249497,0.0,3.9846288967542334
406198,175.0,137.38946846451768
297619,0.0,0.6868845506776403
231568,210.0,289.4836718161179
378602,159.79,136.38503201807416
271789,250.0,175.81587057907277
204383,200.0,185.70616147266063
169657,85.0,155.46661872476284
75818,238.33,165.71187862540594
220166,75.0,168.84617440238858
218863,127.5,159.82217013293405
230274,70.0,100.41688556435292
172932,424.36,417.80597048196086
250164,198.08,169.64710323946937
335120,0.0,4.0101848329051855
304490,135.0,109.80258113624451
5953,170.0,214.20377144956095
60520,342.0,175.4099050907988
388984,96.0,116.63261544054812
403713,160.0,140.9413391723053
147416,712.2,704.3232278957828
255158,0.0,-1.0605666343312459
379476,0.0,4.114832482905945
41111,175.0,196.97238415309886
12502,95.0,164.03452006987578
321941,80.0,79.88905996051847
149832,650.0,596.5597783444662
193107,185.0,159.6277942365986
258018,287.5,283.3857280023113
407177,0.0,0.5581279496457425
233239,135.0,151.29819779125907
131834,142.5,149.70275902016851
383529,95.0,102.05117884748958
255715,210.0,197.4834349823889
63464,181.0,190.63587644189957
78878,150.0,229.52019804991835
323697,125.0,160.49964347500492
405658,400.0,384.7887568268455
230886,165.0,162.1251556843614
63317,151.0,152.46992432829774
24837,359.86,244.72450435530249
125782,125.0,151.9453031334538
159709,100.0,135.1315057220079
248846,198.44,157.25593369677574
151000,518.75,654.1659793401378
14763,254.0,177.81545248136044
221720,130.0,120.76438063418719
411608,150.0,213.46706802413334
282104,124.0,150.41814231705436
235416,200.0,171.45683009738406
349580,240.0,214.710124948828
289359,225.0,211.67433693405906
33631,261.23,146.54953161269404
408757,0.0,1.1417552144613508
80627,195.0,171.0538298562701
44970,150.0,178.90920504687838
69107,159.0,169.3163348268901
320866,150.0,143.37706376659085
317822,150.0,144.72393186225452
171831,200.0,185.112626806669
392550,357.0,352.12868166476596
32760,190.0,241.5535911979047
176203,199.57,109.91602883091261
299617,238.38,136.52200856495355
337200,0.0,142.75127176226874
217160,145.0,153.0445408889754
335339,390.0,672.0421390419141
6927,390.0,383.4443516265809
14907,110.0,115.98740713096272
218373,105.0,186.19842832215554
270911,183.0,164.81870172102128
218267,175.0,154.5058362208979
405118,341.0,340.52638097995936
199899,190.58,187.10920969330962
87326,370.0,367.56385432650376
327036,95.0,109.2195112888522
78170,85.0,171.9500272732282
223860,365.0,361.9851197953595
143813,200.0,153.26504708098588
187875,175.0,163.9472391406355
392607,150.0,107.83357445817438
147962,200.0,168.56163062153726
264422,0.0,2.349085790366844
102393,452.0,465.3004688828616
75101,125.0,175.55321417715794
72910,173.25,202.9511771294561
175719,450.0,438.94495551630393
425303,255.0,235.0390135548801
19479,85.0,276.414863008325
79722,275.0,205.7943220292735
260809,187.5,146.0413390302333
272443,250.0,212.65929339991447
211033,135.0,174.44673048630997
274654,250.0,175.69445173799733
73793,297.0,175.06572774627003
143281,195.0,163.77886775823507
13226,250.0,221.94172268086547
188535,415.0,439.98800239042276
266747,200.0,144.21140029277169
166548,150.0,210.8598806110952
371737,547.6,523.977622103482
7564,357.0,240.23708755657572
142654,182.28,220.3516883389854
237778,109.89,187.60476696781055
292034,100.0,132.16548500647514
393859,50.0,92.96908264176858
346083,240.0,161.27060756566505
426845,0.0,2.855115701602338
234795,110.0,172.48516104082498
187873,50.0,142.04765979318015
385704,280.7,285.58706286202096
129739,150.0,151.5934286066954
248696,0.0,0.7474803702746001
22342,137.0,177.31751762053344
144754,250.0,209.28443767799476
216510,158.0,151.95249765676712
148908,670.0,587.9935510037419
279325,75.0,218.74985155676347
207832,112.5,165.05861756232363
139320,487.0,476.402645036812
273708,250.0,222.31219216578535
376453,160.0,114.5462014215964
120738,100.0,105.80435267631974
204083,65.0,101.01588838499366
255294,0.0,1.0752174468778533
183824,522.0,523.5517428688403
329836,0.0,274.9922406784017
26070,360.0,312.5015152619187
375936,40.0,125.50364435681234
419041,53.9,53.722861226950855
227156,130.5,135.3329726811043
416601,350.0,333.2183188639146
270495,177.0,156.49552175062047
183260,0.0,-1.5379653170937024
183932,199.49,133.0167930676348
