SHARED_INDICATION_NAME,SHARED_INDICATOR_APPLICATION,SHARED_INDICATOR_ACTIVITY,SHARED_INDICATOR_TYPE,SHARED_INDICATOR_SUFFIX,HEAT_VALUE,
App_13_Heat_Terminal_IND,App_13,Terminal,Heat,IND,5,
App_13_Heat_USB_IND,App_13,USB,Heat,IND,5,
App_14_Heat_HR_IND,App_14,HR,Heat,IND,50,
App_14_Heat_Terminal_IND,App_14,Terminal,Heat,IND,10,
App_15_Heat_Badge_IND,App_15,Badge,Heat,IND,0,
App_15_Heat_Badge_MS,App_15,Badge,Heat,MS,0,
App_15_Threshold_Badge_IND,App_15,Badge,Threshold,IND,50,
App_15_Threshold_Badge_MS,App_15,Badge,Threshold,MS,50,
App_16_Threshold_Box_B,App_16,Box,Threshold,B,5,
App_16_Threshold_Box_A,App_16,Box,Threshold,A,3,
App_16_Threshold_Box_C,App_16,Box,Threshold,C,10,
App_17_Threshold_App_Usage_30_Day,App_17,App_Usage,Threshold,30_Day,40,
App_17_Threshold_App_Usage_7_Day,App_17,App_Usage,Threshold,7_Day,50,
App_17_Threshold_App_Usage_90_Day,App_17,App_Usage,Threshold,90_Day,30,
App_18_Heat_HR_IND,App_18,HR,Heat,IND,5,
App_19_Atomic_App_Usage_IND,App_19,App_Usage,Atomic,IND,N/A,
App_2_Heat_CD_Burn_NON_MIL,App_2,CD_Burn,Heat,NON_MIL,5,
App_2_Heat_CD_Burn_MIL,App_2,CD_Burn,Heat,MIL,5,
App_20_Threshold_App_Usage_30_Day,App_20,App_Usage,Threshold,30_Day,4,
App_20_Threshold_App_Usage_7_Day,App_20,App_Usage,Threshold,7_Day,5,
App_20_Threshold_App_Usage_90_Day,App_20,App_Usage,Threshold,90_Day,3,
App_21_Threshold_App_Usage_30_Day,App_21,App_Usage,Threshold,30_Day,4,
App_21_Threshold_App_Usage_7_Day,App_21,App_Usage,Threshold,7_Day,5,
App_21_Threshold_App_Usage_90_Day,App_21,App_Usage,Threshold,90_Day,3,
App_22_Threshold_App_Usage_30_Day,App_22,App_Usage,Threshold,30_Day,40,
App_22_Threshold_App_Usage_7_Day,App_22,App_Usage,Threshold,7_Day,50,
App_22_Threshold_App_Usage_90_Day,App_22,App_Usage,Threshold,90_Day,30,
App_23_Threshold_App_Usage_Tier_2>70,App_23,App_Usage,Threshold,Tier_2>70,2,
App_23_Threshold_App_Usage_Tier_2>140,App_23,App_Usage,Threshold,Tier_2>140,2,
App_23_Threshold_App_Usage_Tier_2>250,App_23,App_Usage,Threshold,Tier_2>250,4,
App_24_Threshold_App_Usage_30_Day,App_24,App_Usage,Threshold,30_Day,40,
App_24_Threshold_App_Usage_7_Day,App_24,App_Usage,Threshold,7_Day,50,
App_24_Threshold_App_Usage_90_Day,App_24,App_Usage,Threshold,90_Day,30,
App_25_Atomic_TT_IND,App_25,TT,Atomic,IND,N/A,
App_25_Heat_TT_IND,App_25,TT,Heat,IND,20,
App_26_Heat_NTU_IND,App_26,NTU,Heat,IND,3,
App_27_Heat_Box_IND,App_27,Box,Heat,IND,1,
App_27_Heat_CD_Burn_IND,App_27,CD_Burn,Heat,IND,5,
App_27_Heat_DVD_Burn_IND,App_27,DVD_Burn,Heat,IND,5,
App_27_Heat_Email_IND,App_27,Email,Heat,IND,5,
App_27_Heat_NTU_IND,App_27,NTU,Heat,IND,5,
App_27_Heat_RDP_IND,App_27,RDP,Heat,IND,3,
App_27_Heat_USB_IND,App_27,USB,Heat,IND,2,
App_28_Heat_HR_Confirmed,App_28,HR,Heat,Confirmed,10,
App_28_Heat_HR_Action,App_28,HR,Heat,Action,10,
App_3_Atomic_Email_HRO,App_3,Email,Atomic,HRO,5,
App_3_Atomic_Email_SS,App_3,Email,Atomic,SS,N/A,
App_3_Heat_Email_NON_MIL,App_3,Email,Heat,NON_MIL,10,
App_3_Heat_Email_CD,App_3,Email,Heat,CD,3,
App_3_Heat_Email_CAD,App_3,Email,Heat,CAD,4,
App_3_Heat_Email_HRO,App_3,Email,Heat,HRO,5,
App_3_Heat_Email_ZIP,App_3,Email,Heat,ZIP,5,
App_3_Heat_Email_HRO_Recip,App_3,Email,Heat,HRO_Recip,5,
App_3_Heat_Email_MIL,App_3,Email,Heat,MIL,10,
App_3_Heat_Email_IND,App_3,Email,Heat,IND,50,
App_4_Heat_CAD_IND,App_4,CAD,Heat,IND,10,
App_5_Heat_NTU_NON_MIL,App_5,NTU,Heat,NON_MIL,10,
App_5_Heat_NTU_MIL,App_5,NTU,Heat,MIL,10,
App_6_Heat_Print_NON_MIL,App_6,Print,Heat,NON_MIL,3,
App_6_Heat_Print_MIL,App_6,Print,Heat,MIL,3,
App_7_Heat_USB_NON_MIL,App_7,USB,Heat,NON_MIL,1,
App_7_Heat_USB_MIL,App_7,USB,Heat,MIL,1,
App_8_Heat_Bluetooth_IND,App_8,Bluetooth,Heat,IND,3,
App_8_Heat_Bluetooth_App_27,App_8,Bluetooth,Heat,App_27,5,
App_9_Atomic_Access_IND,App_9,Access,Atomic,IND,N/A,
App_9_Atomic_DVD_Burn_IND,App_9,DVD_Burn,Atomic,IND,3,
App_9_Heat_Box_IND,App_9,Box,Heat,IND,3,
App_9_Heat_CD_Burn_IND,App_9,CD_Burn,Heat,IND,3,
App_9_Heat_Email_IND,App_9,Email,Heat,IND,3,
App_9_Heat_NTU_IND,App_9,NTU,Heat,IND,3,
App_9_Heat_RDP_IND,App_9,RDP,Heat,IND,3,
App_9_Heat_USB_IND,App_9,USB,Heat,IND,1,
App_9_Threshold_Access_30_Day,App_9,Access,Threshold,30_Day,40,
App_9_Threshold_Access_7_Day,App_9,Access,Threshold,7_Day,50,
App_9_Threshold_Access_90_Day,App_9,Access,Threshold,90_Day,30,
App_9_Threshold_Access_Confidential>5,App_9,Access,Threshold,Confidential>5,N/A,
App_9_Threshold_Access_Confidential>6,App_9,Access,Threshold,Confidential>6,4,
App_9_Threshold_Access_Confidential>4,App_9,Access,Threshold,Confidential>4,5,
App_9_Threshold_Access_Confidential>10,App_9,Access,Threshold,Confidential>10,N/A,
App_9_Threshold_Access_Restricted>10,App_9,Access,Threshold,Restricted>10,N/A,
App_9_Threshold_Access_>9,App_9,Access,Threshold,>9,3,
App_9_Threshold_Access_>8,App_9,Access,Threshold,>8,N/A,
App_9_Threshold_Access_Confidential>15,App_9,Access,Threshold,Confidential>15,N/A,
App_9_Threshold_Access_30_Day,App_9,Access,Threshold,30_Day,40,
App_9_Threshold_Access_7_Day,App_9,Access,Threshold,7_Day,50,
App_9_Threshold_Access_90_Day,App_9,Access,Threshold,90_Day,30,
Threshold_Heat_BA_IND,Threshold,BA,Heat,IND,0, 
Top_Users_Heat_CD_Burn_IND,Top_Users,CD_Burn,Heat,IND,0,
Top_Users_Heat_USB_IND,Top_Users,USB,Heat,IND,0,
Threshold_Heat_Email_IND,Threshold,Email,Heat,IND,0,
Top_Users_Heat_Egress_IND,Top_Users,Egress,Heat,IND,0,
Threshold_Heat_USB_IND,Threshold,USB,Heat,IND,0,
Threshold_Heat_NTD_EXE_IND,Threshold,NTD_EXE,Heat,IND,0,
Threshold_Heat_Print_IND,Threshold,Print,Heat,IND,0,
Threshold_Heat_NTD_IND,Threshold,NTD,Heat,IND,0,
NA_Heat_NA_IND,NA,NA,Heat,IND,0,
Keywords_Heat_Service_NON_MIL,Keywords,Service,Heat,NON_MIL,0,
Keywords_Heat_Service_MIL,Keywords,Service,Heat,MIL,0,
Keywords_Heat_Email_MIL,Keywords,Email,Heat,MIL,0,
